GAME_ID,OLD_HOME_TEAM_WIN,OLD_HOME_TEAM_REST,NEW_HOME_TEAM_WIN,NEW_HOME_TEAM_REST
20900826,0,0.15,0,2.01
20900827,0,0.11,0,2.08
20900828,1,0.57,1,2.13
20900829,1,0.32,1,2.08
20900830,1,0.66,1,2.19
20900831,0,0.45,0,2.29
20900832,1,0.44,1,2.19
20900833,0,0.04,0,2.27
20900834,1,0.78,1,1.9
20900835,0,0.93,0,1.96
20900836,1,0.36,1,2.21
20900837,1,0.3,1,2.15
20900838,1,0.54,1,2.1
20900839,0,0.59,0,2.01
20900840,0,0.1,0,2.0
20900841,0,0.5,0,2.07
20900842,0,0.98,0,2.41
20900843,0,0.11,0,1.97
20900844,0,0.55,0,2.07
20900845,1,0.55,1,2.05
20900846,0,0.82,0,2.61
20900847,0,0.63,0,2.16
20900848,1,0.59,1,1.89
20900849,1,0.84,1,1.99
20900850,0,0.21,0,2.29
20900851,1,0.33,1,2.46
20900852,1,0.85,1,1.92
20900853,1,0.85,1,1.94
20900854,1,0.62,1,1.97
20900855,1,0.57,1,2.17
20900856,0,0.18,0,1.88
20900857,0,0.69,0,2.08
20900858,0,0.37,0,2.06
20900859,0,0.54,0,2.5
20900860,0,0.42,0,2.13
20900861,0,0.7,0,2.04
20900862,1,0.73,1,1.91
20900863,0,0.56,0,1.9
20900864,1,0.32,1,1.92
20900865,1,0.44,1,2.13
20900866,1,0.14,1,2.24
20900867,1,0.74,1,2.17
20900868,1,0.07,1,2.16
20900869,1,0.49,1,2.17
20900870,1,0.9,1,1.95
20900871,0,0.46,0,2.07
20900872,0,0.39,0,2.37
20900873,1,0.12,1,1.9
20900874,0,0.34,0,1.99
20900875,0,0.17,0,1.73
20900876,1,0.5,1,1.8
20900877,1,0.24,1,2.05
20900878,1,0.37,1,2.31
20900879,1,0.66,1,2.14
20900880,1,0.46,1,2.03
20900881,0,0.38,0,2.12
20900882,1,0.62,1,2.1
20900883,1,0.51,1,2.18
20900884,1,0.38,1,2.13
20900885,1,0.93,1,1.95
20900886,0,0.46,0,2.28
20900887,1,0.79,1,2.12
20900888,0,0.27,0,2.23
20900889,0,0.55,0,1.79
20900890,0,0.58,0,1.79
20900891,0,0.36,0,1.77
20900892,1,0.28,1,2.01
20900893,1,0.62,1,1.79
20900894,1,0.32,1,1.91
20900895,0,0.2,0,1.96
20900896,1,0.17,1,2.1
20900897,1,0.75,1,2.08
20900898,1,0.77,1,2.12
20900899,1,0.76,1,1.87
20900900,1,0.78,1,1.97
20900901,1,0.54,1,2.01
20900902,0,0.25,0,2.28
20900903,1,0.15,1,2.0
20900904,1,0.63,1,1.93
20900905,0,0.24,0,1.81
20900906,1,0.97,1,1.82
20900907,0,0.52,0,2.01
20900908,1,0.37,1,1.95
20900909,1,0.76,1,1.88
20900910,0,0.55,0,1.93
20900911,0,0.36,0,2.01
20900912,1,0.45,1,2.08
20900913,0,0.83,0,1.68
20900914,1,0.2,1,2.19
20900915,1,0.91,1,2.08
20900916,0,0.12,0,2.16
20900917,1,0.16,1,2.49
20900918,0,0.35,0,2.22
20900919,1,0.84,1,1.89
20900920,0,0.17,0,2.23
20900921,1,0.98,1,1.85
20900922,1,0.58,1,1.96
20900923,1,0.72,1,2.42
20900924,0,0.36,0,1.94
20900925,1,0.47,1,1.97
20900926,1,0.63,1,2.07
20900927,0,0.29,0,1.82
20900928,0,0.24,0,2.01
20900929,0,0.73,0,1.73
20900930,0,0.08,0,2.3
20900931,1,0.84,1,1.77
20900932,1,0.55,1,1.73
20900933,1,0.63,1,2.04
20900934,0,0.44,0,2.4
20900935,1,0.9,1,1.98
20900936,1,0.06,1,1.86
20900937,1,0.79,1,2.01
20900938,0,0.4,0,1.94
20900939,1,0.72,1,1.96
20900940,1,0.63,1,1.9
20900941,1,0.19,1,1.85
20900942,1,0.49,1,1.78
20900943,0,0.05,0,2.25
20900944,1,0.11,1,2.05
20900945,1,0.65,1,2.16
20900946,1,0.08,1,1.98
20900947,1,0.94,1,1.98
20900948,0,0.15,0,2.15
20900949,0,0.16,0,2.19
20900950,1,0.89,1,2.0
20900951,1,0.56,1,2.22
20900952,1,0.25,1,1.93
20900953,0,0.26,0,1.9
20900954,0,0.58,0,1.82
20900955,0,0.37,0,2.06
20900956,1,0.5,1,2.01
20900957,0,0.03,0,2.2
20900958,1,0.8,1,2.12
20900959,1,0.99,1,1.8
20900960,1,0.58,1,2.11
20900961,1,0.18,1,1.78
20900962,1,0.96,1,1.99
20900963,0,0.07,0,2.06
20900964,1,0.84,1,1.96
20900965,0,0.17,0,1.92
20900966,1,0.38,1,1.86
20900967,1,0.67,1,2.01
20900968,1,0.25,1,2.05
20900969,1,0.77,1,1.85
20900970,0,0.02,0,2.17
20900971,0,0.27,0,2.04
20900972,1,0.87,1,2.1
20900973,1,0.93,1,2.18
20900974,0,0.7,0,2.15
20900975,0,0.45,0,1.82
20900976,1,0.4,1,2.0
20900977,0,0.07,0,1.75
20900978,0,0.85,0,1.7
20900979,0,1.0,0,2.01
20900980,1,0.58,1,2.35
20900981,1,0.81,1,1.89
20900982,1,0.04,1,2.05
20900983,1,0.95,1,2.15
20900984,1,0.83,1,2.23
20900985,1,0.78,1,2.01
20900986,0,0.98,0,1.81
20900987,1,0.91,1,2.08
20900988,1,0.47,1,2.12
20900989,1,0.87,1,1.97
20900990,1,0.3,1,1.85
20900991,0,0.08,0,1.77
20900992,1,0.39,1,1.72
20900993,1,0.72,1,2.28
20900994,1,0.4,1,1.81
20900995,0,0.36,0,2.04
